scenario,hedge_sigma,rebalance_every_hours,mean_error_pct_spot,mean_abs_error_pct_spot,p95_abs_error_pct_spot,p99_abs_error_pct_spot
hourly_correct_vol,0.3583,1,-4.398334417889508e-06,0.0009996903619364204,0.002737564598376903,0.004064974729645538
6h_correct_vol,0.3583,6,3.246406396773445e-05,0.002422095157242033,0.006720453035002378,0.009878928856849972
daily_correct_vol,0.3583,24,-3.2221432743238153e-06,0.004762965027311154,0.012828207214464088,0.018188988839073425
hourly_vol_minus_10pt,0.2583,1,-0.011504818654513157,0.011504818654513157,0.020424866093433774,0.023681640581793246
hourly_vol_plus_10pt,0.45830000000000004,1,0.011465172047189463,0.011465172047189463,0.018025773318581368,0.02013102130133038
